suburb,LAT,LON
Abbotsbury,-33.86513,150.85951
Sydenham,-33.91673,151.16817
Bardwell Park,-33.93591,151.12536
Prairiewood,-33.86527,150.90773
Werrington County,-33.74701,150.74862
Clemton Park,-33.92577,151.10309
Constitution Hill,-33.793,150.97503
Banksia,-33.94651,151.14536
Warwick Farm,-33.91284,150.93513
Alfords Point,-33.98789,151.02589
Windsor,-33.61162,150.82113
Parklea,-33.72521,150.91722
Regents Park,-33.88245,151.02748
Camden Park,-34.0946,150.71838
Cabramatta West,-33.89292,150.91194
Woronora Heights,-34.03389,151.02834
Kareela,-34.01795,151.0826
Jamisontown,-33.7699,150.67467
Meadowbank,-33.8162,151.08824
Old Toongabbie,-33.79058,150.97046
Canton Beach,-33.2754,151.54578
Dean Park,-33.73536,150.8596
Blair Athol,-34.06196,150.80158
Revesby Heights,-33.96919,151.01822
Tacoma South,-33.29377,151.45736
Potts Point,-33.86528,151.22607
Huntleys Cove,-33.8375,151.13912
Tacoma,-33.2879,151.45824
Loftus,-34.04487,151.04593
Woodbine,-34.04484,150.82045
Tuggerah,-33.30674,151.42507
Bow Bowing,-34.01729,150.84136
Narellan,-34.04378,150.73456
Hobartville,-33.6049,150.74286
Kearns,-34.01979,150.80135
Cambridge Gardens,-33.73808,150.72065
Milsons Point,-33.84723,151.21163
Eastern Creek,-33.79734,150.84976
Heckenberg,-33.90786,150.89189
Sadleir,-33.9168,150.89054
Werrington Downs,-33.74159,150.73207
